final_rank,scheme_name,CAGR_3Y,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,fund_score,risk_grade
1,Mirae Asset Large Cap Fund - Regular - Growth,34.00091602163293,1.4482911703262595,0.2698375144191807,1.46,-0.1126572907502827,86.25,Moderate
2,ICICI Pru Midcap Fund - Regular - Growth,31.777537151234704,1.1801011976606497,0.2926358334175106,1.36,-0.1818851357211629,82.25,High
3,Kotak Flexicap Fund - Regular - Growth,29.58277033726251,1.3067439695428409,0.2733046503830605,1.45,-0.1297396816518679,82.0,High
4,HDFC Mid-Cap Opportunities Fund - Regular - Growth,32.44245942195612,1.0936987435346308,0.2719535450128533,1.38,-0.1621720857464484,81.125,High
5,ICICI Pru Bluechip Fund - Direct - Growth,32.48742855621496,1.0265242847993004,0.2119482701352573,0.8,-0.1258827560692251,80.0,Moderate
6,Axis Midcap Fund - Regular - Growth,35.11180209642853,0.9982309868636414,0.2607666908004223,1.38,-0.2096088386203919,77.375,High
7,SBI Bluechip Fund - Regular Plan - Growth,30.456524420302888,1.2082665673727175,0.2320100716063508,1.54,-0.1501238549864533,75.0,Moderate
8,Mirae Asset Tax Saver Fund - Regular - Growth,29.178901578393777,1.2349300257743296,0.2827036785246582,1.6,-0.1639674294693263,73.875,High
9,ABSL Frontline Equity Fund - Regular - Growth,28.96769452874166,1.0272133278753697,0.2139978477605121,1.6,-0.1129159632932307,68.375,Moderate
10,SBI Small Cap Fund - Regular Plan - Growth,26.66992200118774,0.9453082575156092,0.3033696538698332,1.43,-0.2870600572176455,67.375,High
11,DSP Small Cap Fund - Regular - Growth,27.000426614519245,0.9497958246616032,0.3005787817097677,1.52,-0.3117190030063421,66.875,High
12,Nippon India Large Cap Fund - Regular - Growth,22.652359830098632,1.0816591793457044,0.2182939790460864,1.51,-0.1741407508665723,66.75,Moderate
13,DSP Midcap Fund - Regular - Growth,26.869990828902203,1.1321218524747243,0.2659857754204304,1.61,-0.1724810575345138,66.75,High
14,SBI Bluechip Fund - Direct Plan - Growth,16.267372294624916,0.9532794968660104,0.1986859936686296,0.66,-0.1180349350276429,66.0,Moderate
15,HDFC Top 100 Fund - Direct Plan - Growth,18.434488610520173,0.7757902498211207,0.1772975492753176,0.92,-0.1520001305560639,59.25,Moderate
16,Nippon India ETF Nifty 50 BeES,20.00820838047148,0.6648569985490619,0.1513635464823924,0.89,-0.1165062450540909,59.0,Moderate
17,Nippon India Large Cap Fund - Direct - Growth,21.08997654925684,0.6452074382933215,0.1564383594816966,0.72,-0.1862974313859551,58.75,Moderate
18,UTI Nifty 50 Index Fund - Regular - Growth,19.66726206830185,0.8170993373494368,0.1704875680341269,1.57,-0.1085986215250232,55.0,Moderate
19,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.748035533586012,0.9262873467360146,0.2087301008694233,1.52,-0.1527259422823477,53.625,High
20,ICICI Pru Bluechip Fund - Regular - Growth,13.978381933703044,0.7979728586052847,0.1770330236584407,1.42,-0.1389786282306163,53.625,Moderate
21,ICICI Pru Value Discovery Fund - Regular - Growth,18.421996537444542,0.6488787755249532,0.1625385327998104,1.41,-0.1982565826298267,51.125,High
22,ICICI Pru Liquid Fund - Regular - Growth,7.394286300360076,0.4957233929533124,0.0674621041109953,0.74,-0.0009773140045925,48.0,Low
23,Axis Bluechip Fund - Direct - Growth,20.816771175535862,0.1296144979566932,0.0823280129522209,0.75,-0.2175139637014822,47.625,Moderate
24,UTI Flexi Cap Fund - Regular - Growth,25.556187904126524,0.6195175900829828,0.1621125679403325,1.64,-0.2153982711238322,46.375,High
25,DSP Top 100 Equity Fund - Regular - Growth,18.04420648663614,0.4640374492204777,0.1317319022609943,1.54,-0.1484457691777174,43.875,Moderate
26,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.245222866621418,0.3006119210425478,0.1198910097121797,0.78,-0.2111727956013211,42.125,High
27,Kotak Liquid Fund - Regular - Growth,6.695971624586994,-0.0887472962155733,0.0645567749537599,0.6,-0.0011629327956168,41.125,Low
28,Kotak Bluechip Fund - Regular - Growth,17.26727508371786,0.4942725378672349,0.1304292445070544,1.59,-0.1757361416468729,39.375,Moderate
29,Nippon India Small Cap Fund - Regular - Growth,8.007927728656083,0.4484340089089914,0.1750072167561127,1.53,-0.2334488614483311,38.5,High
30,Nippon India Gilt Securities Fund - Regular - Growth,4.062205023777143,-0.356629507514368,0.050747729999761,0.55,-0.083163617636387,34.625,Low
31,SBI Magnum Gilt Fund - Regular Plan - Growth,5.840358798463097,-0.2265753866279159,0.0562089521663836,0.77,-0.0432872892397009,33.75,Low
32,ABSL Liquid Fund - Regular - Growth,6.315784491375509,-0.8155673679088278,0.0608614579578711,0.79,-0.0016224980244717,32.875,Low
33,HDFC Short Term Debt Fund - Regular - Growth,3.9163899571040384,-0.5670947928476847,0.0428179203150608,0.56,-0.0430826382463634,31.875,Low
34,Kotak Emerging Equity Fund - Regular - Growth,7.756003551327284,0.0759998480465891,0.0780443887615508,1.56,-0.2400351132627488,27.625,High
35,SBI Small Cap Fund - Direct Plan - Growth,-1.337386614488112,-0.0571866258281799,0.0488242159455398,0.72,-0.5257422117012851,24.125,High
36,Axis Bluechip Fund - Regular - Growth,0.5258871209757432,0.0307848509545859,0.0689952982167755,1.64,-0.1440161790933726,22.75,Moderate
37,ABSL Small Cap Fund - Regular - Growth,-4.152381044854481,0.1626607692864677,0.1089709190170453,1.53,-0.3544691649336603,22.25,High
38,Axis Small Cap Fund - Regular - Growth,-11.705806723995272,-0.0759735711747892,0.0480159536377595,1.38,-0.5167775370852656,17.625,High
39,UTI Mid Cap Fund - Regular - Growth,-0.7674063178547241,-0.2058316078547031,0.0289693978663794,1.51,-0.2800112356639287,14.5,High
40,HDFC Top 100 Fund - Regular Plan - Growth,1.292649342495622,-0.2015170675596694,0.0374758076344328,1.55,-0.247344408806733,14.375,Moderate
