investor_id,sip_count,avg_gap_days,risk_status
INV000004,5,85.4,At-Risk
INV000008,5,70.4,At-Risk
INV000010,5,64.8,At-Risk
INV000011,6,40.166666666666664,At-Risk
INV000012,7,57.0,At-Risk
INV000013,6,55.333333333333336,At-Risk
INV000014,6,75.33333333333333,At-Risk
INV000023,7,58.57142857142857,At-Risk
INV000028,5,93.6,At-Risk
INV000029,6,60.666666666666664,At-Risk
INV000030,8,47.625,At-Risk
INV000033,7,45.57142857142857,At-Risk
INV000039,5,68.6,At-Risk
INV000045,5,70.6,At-Risk
INV000048,8,46.0,At-Risk
INV000052,5,36.2,At-Risk
INV000056,5,74.8,At-Risk
INV000057,7,49.714285714285715,At-Risk
INV000069,9,49.111111111111114,At-Risk
INV000072,5,83.0,At-Risk
INV000073,8,48.25,At-Risk
INV000074,7,72.57142857142857,At-Risk
INV000075,5,74.8,At-Risk
INV000076,5,91.8,At-Risk
INV000079,5,65.8,At-Risk
INV000081,6,81.33333333333333,At-Risk
INV000082,6,83.66666666666667,At-Risk
INV000086,9,44.666666666666664,At-Risk
INV000087,5,92.8,At-Risk
INV000091,7,44.0,At-Risk
INV000093,6,55.5,At-Risk
INV000094,5,44.8,At-Risk
INV000095,5,69.4,At-Risk
INV000097,6,54.5,At-Risk
INV000101,7,65.0,At-Risk
INV000102,7,65.28571428571429,At-Risk
INV000103,5,83.4,At-Risk
INV000105,7,57.0,At-Risk
INV000109,8,46.25,At-Risk
INV000113,7,46.0,At-Risk
INV000123,6,59.666666666666664,At-Risk
INV000128,5,82.0,At-Risk
INV000131,6,56.0,At-Risk
INV000132,5,71.0,At-Risk
INV000133,5,88.2,At-Risk
INV000138,5,76.2,At-Risk
INV000145,5,89.4,At-Risk
INV000146,5,66.8,At-Risk
INV000148,8,52.0,At-Risk
INV000155,6,37.333333333333336,At-Risk
INV000161,6,73.0,At-Risk
INV000163,7,61.0,At-Risk
INV000164,5,61.8,At-Risk
INV000169,6,67.83333333333333,At-Risk
INV000173,6,57.666666666666664,At-Risk
INV000175,6,83.66666666666667,At-Risk
INV000177,7,65.42857142857143,At-Risk
INV000180,5,61.8,At-Risk
INV000183,8,56.125,At-Risk
INV000191,6,56.5,At-Risk
INV000194,6,58.0,At-Risk
INV000195,5,77.4,At-Risk
INV000196,6,69.0,At-Risk
INV000201,8,51.125,At-Risk
INV000205,7,62.57142857142857,At-Risk
INV000210,7,70.71428571428571,At-Risk
INV000214,5,94.8,At-Risk
INV000217,5,92.0,At-Risk
INV000228,8,59.75,At-Risk
INV000236,7,67.14285714285714,At-Risk
INV000238,5,93.6,At-Risk
INV000239,7,48.857142857142854,At-Risk
INV000243,5,88.2,At-Risk
INV000245,5,92.2,At-Risk
INV000249,6,45.5,At-Risk
INV000252,5,50.4,At-Risk
INV000255,5,48.6,At-Risk
INV000256,5,70.2,At-Risk
INV000259,5,70.6,At-Risk
INV000260,7,59.57142857142857,At-Risk
INV000262,7,53.57142857142857,At-Risk
INV000263,7,68.42857142857143,At-Risk
INV000265,9,53.44444444444444,At-Risk
INV000268,6,62.333333333333336,At-Risk
INV000279,8,43.375,At-Risk
INV000280,8,55.75,At-Risk
INV000283,5,68.0,At-Risk
INV000287,6,69.83333333333333,At-Risk
INV000289,7,62.714285714285715,At-Risk
INV000291,5,89.0,At-Risk
INV000292,6,46.0,At-Risk
INV000293,6,47.0,At-Risk
INV000297,5,90.6,At-Risk
INV000299,5,85.2,At-Risk
INV000304,6,70.0,At-Risk
INV000309,7,52.0,At-Risk
INV000310,6,75.83333333333333,At-Risk
INV000318,5,97.4,At-Risk
INV000319,6,73.5,At-Risk
INV000321,6,72.83333333333333,At-Risk
INV000328,8,37.5,At-Risk
INV000331,7,50.714285714285715,At-Risk
INV000334,6,25.5,Regular
INV000335,5,96.0,At-Risk
INV000339,5,94.0,At-Risk
INV000341,7,54.42857142857143,At-Risk
INV000356,5,54.4,At-Risk
INV000359,8,54.125,At-Risk
INV000363,6,77.0,At-Risk
INV000369,5,43.8,At-Risk
INV000371,7,59.285714285714285,At-Risk
INV000372,6,54.5,At-Risk
INV000380,5,97.0,At-Risk
INV000388,8,53.625,At-Risk
INV000392,6,77.16666666666667,At-Risk
INV000395,6,55.666666666666664,At-Risk
INV000396,5,83.2,At-Risk
INV000399,9,49.55555555555556,At-Risk
INV000400,5,62.6,At-Risk
INV000403,5,58.2,At-Risk
INV000407,5,82.4,At-Risk
INV000408,5,46.8,At-Risk
INV000412,7,43.714285714285715,At-Risk
INV000414,7,66.28571428571429,At-Risk
INV000415,6,66.16666666666667,At-Risk
INV000418,5,86.8,At-Risk
INV000427,6,68.5,At-Risk
INV000428,7,52.142857142857146,At-Risk
INV000429,5,77.2,At-Risk
INV000437,5,97.8,At-Risk
INV000440,7,69.57142857142857,At-Risk
INV000441,5,60.8,At-Risk
INV000444,5,73.2,At-Risk
INV000445,8,57.75,At-Risk
INV000446,5,38.6,At-Risk
INV000449,5,46.8,At-Risk
INV000452,8,49.375,At-Risk
INV000457,5,91.4,At-Risk
INV000460,5,43.4,At-Risk
INV000463,6,65.16666666666667,At-Risk
INV000466,6,73.33333333333333,At-Risk
INV000467,9,56.666666666666664,At-Risk
INV000469,6,70.5,At-Risk
INV000483,7,70.42857142857143,At-Risk
INV000491,5,95.0,At-Risk
INV000493,9,47.55555555555556,At-Risk
INV000497,6,71.83333333333333,At-Risk
INV000499,6,77.83333333333333,At-Risk
INV000507,6,70.16666666666667,At-Risk
INV000512,8,54.75,At-Risk
INV000522,5,100.8,At-Risk
INV000524,6,55.0,At-Risk
INV000527,5,50.8,At-Risk
INV000529,5,59.2,At-Risk
INV000531,6,47.0,At-Risk
INV000539,6,77.0,At-Risk
INV000540,6,73.5,At-Risk
INV000543,6,83.66666666666667,At-Risk
INV000545,5,80.6,At-Risk
INV000546,8,55.0,At-Risk
INV000547,5,55.8,At-Risk
INV000549,5,96.2,At-Risk
INV000553,5,72.0,At-Risk
INV000554,5,70.2,At-Risk
INV000556,7,52.42857142857143,At-Risk
INV000562,5,74.4,At-Risk
INV000563,6,76.33333333333333,At-Risk
INV000566,6,35.0,Regular
INV000567,5,63.8,At-Risk
INV000568,5,62.4,At-Risk
INV000570,7,67.28571428571429,At-Risk
INV000573,6,50.833333333333336,At-Risk
INV000575,5,71.6,At-Risk
INV000578,6,66.83333333333333,At-Risk
INV000581,6,78.33333333333333,At-Risk
INV000586,6,44.5,At-Risk
INV000589,8,59.125,At-Risk
INV000591,6,64.5,At-Risk
INV000593,5,74.2,At-Risk
INV000596,8,51.75,At-Risk
INV000597,5,88.6,At-Risk
INV000599,6,81.5,At-Risk
INV000607,6,66.66666666666667,At-Risk
INV000608,5,100.2,At-Risk
INV000609,5,47.0,At-Risk
INV000612,10,49.3,At-Risk
INV000615,6,55.833333333333336,At-Risk
INV000624,6,31.666666666666668,Regular
INV000625,5,86.4,At-Risk
INV000630,6,68.66666666666667,At-Risk
INV000631,5,54.0,At-Risk
INV000634,8,52.25,At-Risk
INV000635,5,75.0,At-Risk
INV000641,5,54.8,At-Risk
INV000642,8,53.5,At-Risk
INV000645,5,66.0,At-Risk
INV000646,6,62.333333333333336,At-Risk
INV000651,5,94.0,At-Risk
INV000652,5,93.8,At-Risk
INV000657,7,64.71428571428571,At-Risk
INV000662,7,66.14285714285714,At-Risk
INV000663,5,94.4,At-Risk
INV000665,9,36.22222222222222,At-Risk
INV000667,5,68.0,At-Risk
INV000673,5,92.8,At-Risk
INV000675,5,62.8,At-Risk
INV000676,10,35.3,At-Risk
INV000678,6,63.333333333333336,At-Risk
INV000683,8,54.5,At-Risk
INV000690,7,56.285714285714285,At-Risk
INV000691,5,66.4,At-Risk
INV000698,8,52.25,At-Risk
INV000699,5,42.8,At-Risk
INV000701,6,83.66666666666667,At-Risk
INV000707,8,34.375,Regular
INV000709,6,65.16666666666667,At-Risk
INV000710,5,88.6,At-Risk
INV000714,8,37.0,At-Risk
INV000718,6,57.833333333333336,At-Risk
INV000719,6,72.83333333333333,At-Risk
INV000724,5,81.2,At-Risk
INV000725,6,67.66666666666667,At-Risk
INV000734,7,64.0,At-Risk
INV000737,5,92.6,At-Risk
INV000747,5,84.6,At-Risk
INV000750,8,26.5,Regular
INV000751,8,53.0,At-Risk
INV000754,6,72.33333333333333,At-Risk
INV000759,6,83.0,At-Risk
INV000761,6,75.16666666666667,At-Risk
INV000768,7,60.0,At-Risk
INV000772,5,46.0,At-Risk
INV000774,6,73.66666666666667,At-Risk
INV000776,7,59.42857142857143,At-Risk
INV000777,5,66.0,At-Risk
INV000778,7,59.714285714285715,At-Risk
INV000779,5,75.0,At-Risk
INV000783,5,89.8,At-Risk
INV000785,5,32.6,Regular
INV000786,8,64.125,At-Risk
INV000789,7,55.142857142857146,At-Risk
INV000793,7,69.14285714285714,At-Risk
INV000803,6,77.16666666666667,At-Risk
INV000814,5,94.0,At-Risk
INV000822,6,55.5,At-Risk
INV000823,6,39.666666666666664,At-Risk
INV000827,7,58.285714285714285,At-Risk
INV000830,5,72.2,At-Risk
INV000833,7,67.28571428571429,At-Risk
INV000836,5,84.8,At-Risk
INV000843,5,55.6,At-Risk
INV000844,6,66.16666666666667,At-Risk
INV000847,5,47.8,At-Risk
INV000853,9,49.333333333333336,At-Risk
INV000854,8,61.25,At-Risk
INV000858,8,44.875,At-Risk
INV000862,5,91.2,At-Risk
INV000864,5,40.8,At-Risk
INV000865,8,45.75,At-Risk
INV000869,5,65.4,At-Risk
INV000873,6,73.5,At-Risk
INV000874,8,62.125,At-Risk
INV000877,5,59.4,At-Risk
INV000881,9,46.111111111111114,At-Risk
INV000887,6,65.66666666666667,At-Risk
INV000888,6,80.33333333333333,At-Risk
INV000893,6,59.5,At-Risk
INV000894,5,55.0,At-Risk
INV000901,5,54.0,At-Risk
INV000907,5,59.2,At-Risk
INV000920,5,75.6,At-Risk
INV000926,5,80.0,At-Risk
INV000929,6,58.166666666666664,At-Risk
INV000930,7,32.42857142857143,Regular
INV000935,8,30.875,Regular
INV000939,7,60.57142857142857,At-Risk
INV000942,6,53.0,At-Risk
INV000949,6,67.5,At-Risk
INV000950,5,91.0,At-Risk
INV000971,6,46.833333333333336,At-Risk
INV000974,6,73.5,At-Risk
INV000977,9,48.77777777777778,At-Risk
INV000979,5,79.8,At-Risk
INV000980,7,44.42857142857143,At-Risk
INV000981,5,50.4,At-Risk
INV000986,6,60.833333333333336,At-Risk
INV000994,5,63.8,At-Risk
INV001001,7,60.285714285714285,At-Risk
INV001002,6,41.666666666666664,At-Risk
INV001005,5,93.6,At-Risk
INV001008,6,64.66666666666667,At-Risk
INV001013,5,96.8,At-Risk
INV001017,5,67.0,At-Risk
INV001019,8,44.875,At-Risk
INV001021,6,68.66666666666667,At-Risk
INV001023,7,72.42857142857143,At-Risk
INV001025,5,38.8,At-Risk
INV001026,5,69.4,At-Risk
INV001037,9,42.0,At-Risk
INV001039,5,66.2,At-Risk
INV001041,6,83.0,At-Risk
INV001047,6,66.16666666666667,At-Risk
INV001048,7,47.0,At-Risk
INV001051,7,54.142857142857146,At-Risk
INV001053,7,55.857142857142854,At-Risk
INV001055,5,93.2,At-Risk
INV001060,8,53.375,At-Risk
INV001061,8,51.125,At-Risk
INV001063,7,43.285714285714285,At-Risk
INV001064,8,59.5,At-Risk
INV001069,7,41.285714285714285,At-Risk
INV001070,5,97.0,At-Risk
INV001092,6,77.33333333333333,At-Risk
INV001099,7,26.142857142857142,Regular
INV001102,6,55.333333333333336,At-Risk
INV001115,5,81.4,At-Risk
INV001116,8,58.125,At-Risk
INV001117,7,61.714285714285715,At-Risk
INV001130,6,76.83333333333333,At-Risk
INV001137,6,57.0,At-Risk
INV001140,5,60.4,At-Risk
INV001141,5,97.6,At-Risk
INV001142,6,42.833333333333336,At-Risk
INV001156,5,102.4,At-Risk
INV001160,7,57.57142857142857,At-Risk
INV001161,5,80.6,At-Risk
INV001163,6,67.33333333333333,At-Risk
INV001167,5,96.2,At-Risk
INV001170,5,68.2,At-Risk
INV001173,5,67.0,At-Risk
INV001178,6,79.66666666666667,At-Risk
INV001180,5,74.4,At-Risk
INV001181,7,67.42857142857143,At-Risk
INV001190,5,97.0,At-Risk
INV001195,7,53.42857142857143,At-Risk
INV001196,5,92.2,At-Risk
INV001202,7,58.0,At-Risk
INV001206,5,83.6,At-Risk
INV001208,6,51.833333333333336,At-Risk
INV001210,8,36.875,At-Risk
INV001217,7,60.142857142857146,At-Risk
INV001219,7,50.857142857142854,At-Risk
INV001220,6,77.16666666666667,At-Risk
INV001223,6,70.83333333333333,At-Risk
INV001234,7,60.57142857142857,At-Risk
INV001235,8,59.0,At-Risk
INV001237,5,98.0,At-Risk
INV001238,6,68.5,At-Risk
INV001242,5,69.8,At-Risk
INV001251,5,82.0,At-Risk
INV001262,6,44.833333333333336,At-Risk
INV001274,6,73.33333333333333,At-Risk
INV001275,6,66.66666666666667,At-Risk
INV001282,5,67.0,At-Risk
INV001287,5,92.2,At-Risk
INV001288,6,45.666666666666664,At-Risk
INV001291,5,76.2,At-Risk
INV001295,8,50.75,At-Risk
INV001298,6,71.83333333333333,At-Risk
INV001299,8,51.25,At-Risk
INV001304,5,97.6,At-Risk
INV001308,8,54.625,At-Risk
INV001310,5,81.2,At-Risk
INV001314,9,50.44444444444444,At-Risk
INV001315,6,51.833333333333336,At-Risk
INV001316,5,92.4,At-Risk
INV001317,5,84.8,At-Risk
INV001318,9,46.22222222222222,At-Risk
INV001326,7,69.42857142857143,At-Risk
INV001329,5,68.2,At-Risk
INV001331,5,94.2,At-Risk
INV001332,6,80.0,At-Risk
INV001333,6,78.66666666666667,At-Risk
INV001336,7,65.85714285714286,At-Risk
INV001348,6,47.833333333333336,At-Risk
INV001351,6,70.5,At-Risk
INV001355,5,60.2,At-Risk
INV001356,5,79.2,At-Risk
INV001359,6,72.5,At-Risk
INV001361,6,50.5,At-Risk
INV001367,5,99.0,At-Risk
INV001375,6,78.5,At-Risk
INV001376,6,78.66666666666667,At-Risk
INV001383,7,56.142857142857146,At-Risk
INV001387,8,57.25,At-Risk
INV001394,7,63.57142857142857,At-Risk
INV001400,5,76.8,At-Risk
INV001401,5,68.6,At-Risk
INV001406,9,47.666666666666664,At-Risk
INV001407,5,45.2,At-Risk
INV001415,7,68.14285714285714,At-Risk
INV001418,5,88.6,At-Risk
INV001419,5,85.8,At-Risk
INV001423,7,48.57142857142857,At-Risk
INV001428,5,79.4,At-Risk
INV001432,5,71.4,At-Risk
INV001434,5,80.6,At-Risk
INV001442,8,57.125,At-Risk
INV001454,6,73.0,At-Risk
INV001455,7,64.71428571428571,At-Risk
INV001457,5,43.8,At-Risk
INV001458,6,59.833333333333336,At-Risk
INV001466,5,44.6,At-Risk
INV001472,5,79.0,At-Risk
INV001482,5,80.6,At-Risk
INV001485,8,55.0,At-Risk
INV001491,5,98.8,At-Risk
INV001497,8,63.0,At-Risk
INV001504,8,54.25,At-Risk
INV001507,5,86.2,At-Risk
INV001510,6,66.83333333333333,At-Risk
INV001514,6,51.833333333333336,At-Risk
INV001516,5,56.8,At-Risk
INV001526,5,50.4,At-Risk
INV001530,6,64.66666666666667,At-Risk
INV001532,6,56.833333333333336,At-Risk
INV001536,6,69.0,At-Risk
INV001545,5,92.8,At-Risk
INV001547,6,72.16666666666667,At-Risk
INV001548,5,80.6,At-Risk
INV001550,6,79.0,At-Risk
INV001551,5,61.8,At-Risk
INV001562,9,44.22222222222222,At-Risk
INV001564,7,55.714285714285715,At-Risk
INV001569,5,83.4,At-Risk
INV001579,6,75.0,At-Risk
INV001580,6,45.666666666666664,At-Risk
INV001585,5,56.6,At-Risk
INV001587,6,65.0,At-Risk
INV001597,6,56.0,At-Risk
INV001599,5,58.2,At-Risk
INV001602,5,93.8,At-Risk
INV001603,6,54.5,At-Risk
INV001605,7,60.57142857142857,At-Risk
INV001606,6,67.66666666666667,At-Risk
INV001616,8,53.0,At-Risk
INV001623,5,92.0,At-Risk
INV001625,5,72.0,At-Risk
INV001628,7,51.714285714285715,At-Risk
INV001629,6,67.5,At-Risk
INV001631,5,57.0,At-Risk
INV001636,8,48.875,At-Risk
INV001641,5,88.4,At-Risk
INV001644,5,65.6,At-Risk
INV001645,5,67.6,At-Risk
INV001649,9,51.666666666666664,At-Risk
INV001651,6,78.66666666666667,At-Risk
INV001653,5,55.2,At-Risk
